description,game,name,specials
"Ryu (リュウ, Ryū) is a playable character in Super Smash Bros. 4. He was revealed and released as downloadable content alongside veterans Lucas and Roy on June 14th, 2015. Ryu is the fourth of six playable third-party characters in SSB4, alongside fellow Capcom representative Mega Man, Sega's Sonic and Bayonetta, Bandai Namco's Pac-Man, and Square Enix's Cloud. Ryu is voiced by Kyle Hebert in English and Hiroki Takahashi in Japanese, both of whom have voiced him since Street Fighter IV.",Street Fighter,Ryu,"Hadoken,Tatsumaki Senpukyaku,Shoryuken,Focus Attack"
"Robin (ルフレ, Reflet) is a playable newcomer in Super Smash Bros. 4. He was confirmed during a live stream, alongside Captain Falcon and Lucina, on the official Super Smash Bros. website on July 14th, 2014. Like in his home game Fire Emblem Awakening, players can select either male and female versions of Robin, similarly to Wii Fit Trainer, Villager, and Corrin. In the English version, David Vincent, who is male Robin's first voice option in Awakening, reprises his role, while Lauren Landa voices female Robin in place of Michelle Ruff from Awakening. In the Japanese version, both Yoshimasa Hosoya and Miyuki Sawashiro reprise their roles as the voice actors for the male Robin and the female Robin, respectively.",Fire Emblem,Robin,"Thunder,Arcfire,Elwind,Nosferatu"
"Captain Falcon (キャプテン・ファルコン, Captain Falcon) returns as a playable character in Super Smash Bros. 4. He was confirmed during a live stream on July 14th, 2014, which is exactly 16 years after F-Zero X was released for the Nintendo 64 in Japan in 1998, alongside Lucina and Robin. Captain Falcon is once again voiced by Ryō Horikawa, using recycled voice clips from Brawl.",F-Zero,Captain Falcon,"Falcon Punch,Raptor Boost,Falcon Dive,Falcon Kick"
"Olimar (ピクミン＆オリマー, Pikmin & Olimar) is a playable character in Super Smash Bros. 4. His return to the series was announced in a Director's Room Miiverse post on July 12th, 2013, which also commemorated Pikmin 3 being released in Japan on the following day.[1] Alph, one of the three leaders in Pikmin 3, was revealed as an alternate costume in a Director's Room Miiverse post on September 11, 2014.[2]",Pikmin,Olimar,"Pikmin Pluck,Pikmin Throw,Winged Pikmin,Pikmin Order"
"Ike (アイク, Ike) is a playable character in Super Smash Bros. 4. His return to the series was announced in a Director's Room Miiverse post on May 23rd, 2014,[1] which coincided with the ninth anniversary of the North American release of Fire Emblem: The Sacred Stones. Jason Adkins and Michihiko Hagi reprise their roles as Ike's voice actors in the English and Japanese versions, respectively, albeit via voice clips recycled from Super Smash Bros. Brawl.",Fire Emblem,Ike,"Eruption,Quick Draw,Aether,Counter"
"Jigglypuff (プリン, Purin) is a playable character in Super Smash Bros. 4. After initially being seen several times during the Super Smash Bros. for Wii U 50-Fact Extravaganza on October 23rd, 2014,[1] it was formally added to the official website on November 5th, 2014. Jigglypuff is once again voiced by Rachael Lillis in English and Mika Kanai in Japanese, albeit via recycled voice clips. As in previous games, it also has different voice actresses in French and German.",Pokémon,Jigglypuff,"Rollout,Pound,Sing,Rest"
"Pikachu (ピカチュウ, Pikachu) is a playable character in Super Smash Bros. 4. Its return to the series was announced during the E3 Nintendo Direct on June 11th, 2013.[1] It was also among the first wave of amiibo that are compatible with SSB4. Ikue Ōtani reprises her role as Pikachu's voice actor, albeit via recycled voice clips from Super Smash Bros. Melee and Super Smash Bros. Brawl.",Pokémon,Pikachu,"Thunder Jolt,Skull Bash,Quick Attack,Thunder"
"Dr. Mario (Dr. マリオ, Dr. Mario) is a playable character in Super Smash Bros. 4. His return to the series was announced on SSB4's official website on October 9th, 2014, during which Dark Pit was also revealed.[1] Charles Martinet reprises his role as Dr. Mario's voice actor, albeit via Mario's voice clips from Super Smash Bros. Brawl.",Mario,Dr. Mario,"Megavitamins,Super Sheet,Super Jump Punch,Dr. Tornado"
"Lucas (リュカ, Lucas) is a playable character in Super Smash Bros. 4. Initially absent as a playable character, Lucas' return to the series was revealed during a Nintendo Direct on April 1st, 2015. He was then made available as downloadable content on June 14th, 2015, alongside Roy and Ryu. Lani Minella reprises her role as Lucas' voice actor, albeit via recycled voice clips from Brawl and with some of the clips slightly sped up.",EarthBound,Lucas,"PK Freeze,PK Fire,PK Thunder,PSI Magnet"
"A Mii Swordfighter (剣術タイプ, Fencing Type), or Mii Sword Fighter in the PAL version, is one of the three different types of Mii Fighters that appear in Super Smash Bros. 4, along with Mii Brawlers and Mii Gunners.",Super Smash Bros.,Mii Swordfighter,"Gale Strike,Airborne Assault,Stone Scabbard,Blade Counter"
